brand,sell_type,price,name,discount_price
欧舒丹,一口价,149,欧舒丹明星单品  樱花乳木果玫瑰 护手霜  沐浴露 身体乳 可选,170
迪奥（Dior）,一口价,499,法国Dior迪奥真我系列香水  优雅花香调  邂逅芬芳，优雅大气,499
魔力鲜颜,一口价,119,魔力鲜颜墨角藻焕彩妍丽滚珠眼膜 20mlX2,218
资生堂/Shiseido,一口价,79,资生堂 Fino浸透美容液染烫受损护理发膜 230g,139
ck,一口价,179,CK ONE燃情淡香水 经典淡香水 多款可选,219
阿玛尼/Armani,一口价,219,阿玛尼黑管漆光唇蜜唇釉液体唇膏,289
素野,一口价,189,素野清洁卸妆搭档套装   洁面慕丝+卸妆膏,298
馥蕾诗,一口价,389,新品 fresh馥蕾诗 面膜家族 玫瑰 红茶100ml 澄糖125g 可选,520
兰蔻,一口价,189,新品 兰蔻清滢洁面乳 洁面摩丝,249
御泥坊,一口价,75,御泥坊 金桂花亮采眼膜贴 60片1盒,89
蒂佳婷（Dr.Jart+）,一口价,95,Dr.Jart+蒂佳婷蓝色药丸保湿面膜 两盒装,145
薇风/Wellfon,一口价,159,薇风第二代黑膜 亮颜净肤黑珍珠面膜 两盒装,398
BANANA BOAT,一口价,45,Banana Boat香蕉船防晒霜 晒后修护 多规格多spf值可选,79
卓蓝雅,一口价,78,卓蓝雅摩洛哥护发精油两瓶装50mlx2 （赠试用装2片）,87
植美村,一口价,45,植美村矿泉温和卸妆喷雾,114
CPB/肌肤之钥,一口价,519,CPB 肌肤之钥亮彩柔肤粉 修容高光粉  三色可选,549
Poysian,一口价,78,Poysian八仙薄荷香鼻通 12支装,240
杰士邦,一口价,98,新品  杰士邦黄金持久10只装避孕套,120
healthy care,一口价,99,healthy care 金箔羊胎素保湿精华液 50ml,129
听日,一口价,169,新品 Tingri听日迷你艾灸贴 6支装 含60根艾条,169
御泥坊男士,一口价,79,新品 御泥坊男士清洁净爽竹炭黑面膜15片,89.9
江南宝贝,一口价,89,Gangly江南宝贝济州马油洗面奶 180ml,109
欧莱雅,一口价,175,欧莱雅复颜抗皱紧致滋润日霜、晚霜可选,220
娥佩兰/OPERA,一口价,110,娥佩兰薏苡仁化妆水 500ml 2瓶装,196
高姿,一口价,109,新品 高姿星颜匀净气垫CC,129
科颜氏/Kiehls,一口价,169,科颜氏黄瓜植物精华爽肤水 小黄瓜水 高机能补水 250ml 500ml,179
德尔玛,一口价,169,德尔玛负离子硅胶洁面仪  深层净透  紧致肌肤,219
兰蔻/Lancome,一口价,398,Lancome兰蔻 水份缘系列,499
玛丽黛佳,一口价,55,玛丽黛佳Marie Dalgar元气风动三色腮红,66
阿芙,一口价,65,阿芙 阿芙双效精油面膜,149
化妆品1,一口价,55,一叶子 洋甘菊舒缓保湿喷雾95ml,89
施华蔻 /Schwarzkopf,一口价,128,施华蔻金致润养套装（洗发水400ml+润发乳200ml+发膜50ml）精油修护 告别干枯,132
黑人,一口价,53.9,新品 黑人精灵宝贝兔儿童牙刷牙膏组合,140
御泥坊男士,一口价,39.9,御泥坊男士竹炭去黑头洁面乳,69
圣罗兰/YSL,一口价,219,YSL圣罗兰rouge volupte shine迷魅圆管唇膏口红 多色可选,278
御泥坊男士,一口价,39.9,御泥坊男士火山泥清洁控油洁面乳,69
雅诗兰黛/EsteeLauder,一口价,679,雅诗兰黛ANR套装 多款可选,799
科颜氏/Kiehls,一口价,159,科颜氏高保湿清爽无油爽肤水250ml,189
美宝莲,一口价,69,美宝莲双头三角眉笔 规格可选,89
欧莱雅,一口价,79,欧莱雅奇焕润发精油 小金瓶100ml,79
whoo/后,一口价,1399,the history of whoo 天气丹花献水乳面霜6件套装,1729
欧莱雅,一口价,149,欧莱雅葡萄籽乳液（限量版） 125ml,169
SOS,一口价,89,德国SOS口腔凝胶10ml,159
科颜氏/Kiehls,一口价,189,科颜氏金盏花系列 氨基酸洁面乳 植物精华爽肤水 可选,299
whoo/后,一口价,99,WHOO水乳套装可爱迷你装,149
花瑶花,一口价,179,花瑶花雪绒花纯净特安三件套,399
佰草集,一口价,95,佰草集舒颜平衡洁面乳100ml 两支,158
雅诗兰黛/EsteeLauder,一口价,219,雅诗兰黛鲜活红石榴洁面 鲜亮焕采泡沫洁面乳125ML,280
佰草集,一口价,385,佰草集肌活新颜活肤组合装（洁肤泡+活肤水+活肤乳+活肤霜赠+活肤眼霜赠）,540
兰芝/Laneige,一口价,179,兰芝夜间锁水修护睡眠面膜 70ml 修护水润焕活肌肤,200
圣罗兰/YSL,一口价,219,YSL圣罗兰明星同款奢华缎面镜光持久唇釉液体唇膏,278
歌丽姬宝,一口价,59,歌丽姬宝水动力赋活凝乳50ml 精华液30ml可选,188
娇韵诗/Clarins,一口价,139,新品 娇韵诗温和柔肤水黄水 平衡爽肤水绿水200ml 400ml,199
